directorio_hog,ingreso,gasto
19887101,2007833.33333333,2223129.66666667
19887201,4005583.33333333,3976552.33333333
19887301,6200000,4105042.33333333
19887401,10175000,14761166.5
19887501,5000000,5393682.08333333
19887601,4270666.66666667,5054274.83333333
19889201,2200000,4094468.5
19889301,5538666.66666667,5348324.16666667
19891701,5363333.33333333,3682755.36111111
19892401,1700000,1878601
19892501,2000000,2684050.11111111
19892601,1920000,2815675
19892701,875000,1174666.66666667
19892801,937166.666666667,1147730.29166667
19892901,7601666.66666667,6899392.33333333
19893001,2996666.58333333,4218158.66666667
19893101,1606666.66666667,2002624.75
19894101,1011333.33333333,3901705.77777778
19894201,1725000,5511778.77777778
19894301,100000,1224373.66666667
19894401,10133333.3333333,5318483.77777778
19894501,5882499.91666667,8521370.77777778
19894601,3648666.58333333,5198298.77777778
19894701,1166666.66666667,1404665.5
19894801,1079300,3894287.66666667
19894901,1350000,1730370.66666667
19895001,1180575,1829362.33333333
19895101,2579166.66666667,1928268.58333333
19895201,309999,1677650
19895301,450000,859498.5
19895401,1705599,1583033.33333333
19895501,150000,487192.666666667
19895601,1232800,1020789.66666667
19895701,9305750,7169912.33333333
19895801,4360333.33333333,4529158
19895901,3565250,2680410.19444444
19896001,2949500,3287686
19896101,500000,772016.666666667
19896201,702500,1491268.33333333
19896401,2014416.66666667,3049597.33333333
19896501,1809166.66666667,2121535.5
19896601,800000,770666.666666667
19896701,380000,414367.5
19896801,862666.666666667,2141249.08333333
19896901,1171250,844933.333333333
19897101,5542500,5282063.33333333
19897201,2622500,1800376.66666667
19897701,3188333.33333333,1818911.77777778
19897801,1750000,2209759.66666667
19897901,672000,754700
19897902,418333.333333333,618833.333333333
19898001,1438333.33333333,825000
19898002,1060000,562000
19898101,1350000,2894875
19898102,720000,937750
19898103,1708833.33333333,2565350
19898201,1588333.33333333,2368366.66666667
19901501,1001666.5,2485000
19901601,36000000,8270300
19901701,1820000,1866802.83333333
19901702,580833.333333333,713175.75
19901703,NA,644050
19901704,3631666.66666667,2685250
19901801,6897500,4878175.66666667
19901901,2140000,2832723.83333333
19902001,4307066.66666667,3357896.91666667
19902101,8966666.66666667,12072990.6666667
19902201,1150000,1498348.33333333
19902301,3500000,4141284.5
19902401,1633333.33333333,5835772.83333333
19902501,4400000,3471570.66666667
19902601,3205000,4763416.77777778
19902701,3585000,3119210.44444444
19902801,5888250,4565387
19902901,2433333.33333333,7131763.66666667
19903001,3987500,2851533.33333333
19903101,2783333.33333333,3416317.33333333
19903201,6281666.66666667,8781623.33333333
19903301,2500000,4384906
19904201,2502516.66666667,1643783.11111111
19904601,NA,945783.166666667
19904701,4723666.66666667,4597816.66666667
19904801,1510333.33333333,2750443.11111111
19904901,1533333.33333333,3204010.77777778
19905001,650833.333333333,831449.666666667
19905101,2016666.66666667,1368679.77777778
19905201,2101000,2444048.83333333
19905901,1300000,3265124.11111111
19906001,3985333.33333333,2821204
19906101,5266666.66666667,4291071.94444444
19906201,3441666.66666667,6558502.66666667
19906301,7512500,4849816.83333333
19906601,834333.333333333,1285832.08333333
19906701,1893000,1233208.33333333
19906702,1636672.66666667,1632850.75
19906801,6314166.66666667,4460958.11111111
19906901,2531666.66666667,2731288.83333333
19907201,1412333.33333333,1586710.5
19907301,6767766.66666667,2056999.94444444
19907401,1000000,3924171.33333333
19907701,1520000,4202416.66666667
19907801,1312000,1555359
19907901,1516833.25,1507114
19908201,800000,1332400
19908701,2650000,1366233.33333333
19908801,450000,2462490
19909401,1300000,1361887.25
19909501,610000,1703666.66666667
19909901,1790750,1643211.33333333
19910001,1217666.66666667,1921034.66666667
19910101,1726666.66666667,1385645.83333333
19910201,1093000,1195196.66666667
19910301,1375000,1774275.25
19910401,1250000,1837166.66666667
19910901,1600000,1894466.66666667
19911001,1187266.5,1465416.66666667
19911201,5112666.66666667,3886925.11111111
19911401,2145500,2388166.66666667
19911501,2280666.66666667,2364441.77777778
19911601,800000,1760901.83333333
19911701,1517499.91666667,3514298
19911901,12425000,5550085.66666667
19912001,350000,1377200
19912101,5173500,4990199.66666667
19912201,700000,1495155
19912202,780000,1172875
19912301,2000833.25,4821004
19912401,1584333.33333333,2453507.33333333
19912501,4689083.33333333,4344933.33333333
19912801,1385000,1605873.33333333
19912901,1212500,2165290.91666667
19913001,450000,1151350
19913101,6795366.66666667,4667618.83333333
19913201,1817499.91666667,2595561
19914701,4042833.33333333,2732419.33333333
19914801,2701666.5,7179500
19918401,560000,1275882
19918501,30633333.3333333,25636403.6666667
19918601,999100,2625650.75
19918701,4447600,2318684.16666667
19918801,4037750,3108662.33333333
19918901,450000,1339133.33333333
